mai_scroll_trying.py[LINE:125]# INFO     [2019-09-15 21:28:21,274]  Starting parser
mai_scroll_trying.py[LINE:95]# INFO     [2019-09-15 21:28:27,510]  Подключение к БД установленно
mai_scroll_trying.py[LINE:132]# INFO     [2019-09-15 21:28:27,539]  Множество для первого цикла создано: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:28:31,575]  Старт цикла 1
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:28:31,886]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:31,960]  Новость c заголовском(На площадке Восточного экономического форума подписан Меморандум по созданию первого в России центра ионной терапии) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,026]  Новость c заголовском(За два дня «Улицу Дальнего Востока» посетило 40 тысяч человек) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,095]  Новость c заголовском(Россия приняла эстафету на право проведения Мирового энергетического Конгресса в Санкт-Петербурге в 2022 году) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,161]  Новость c заголовском(На площадке РЭН-2019 обсудят готовность субъектов электроэнергетики к прохождению ОЗП) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,229]  Новость c заголовском(Вторая конференция-диалог молодых дипломатов стран Азиатско-Тихоокеанского региона состоялась на полях ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,306]  Новость c заголовском(В Санкт-Петербурге дан старт деловой программе мероприятий в рамках 23-й сессии Генеральной Ассамблеи ЮНВТО) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,380]  Новость c заголовском(Антон Инюцын: «2-5 октября Российская энергетическая неделя станет одним из центров новостей мировой энергетики») уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,473]  Новость c заголовском(Перспективы развития молодежного предпринимательства обсудили на ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,551]  Новость c заголовском(Павел Сорокин: «РЭН-2019 соберет экспертов в нефтегазовой сфере и инноваций») уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,640]  Новость c заголовском(Итоги Восточного экономического форума – 2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,722]  Новость c заголовском(Национальное конгресс-бюро (НКБ) при поддержке Фонда Росконгресс приняло участие в V Восточном экономическом форуме) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:32,801]  Новость c заголовском(В МИД России состоялось рабочее совещание о ходе подготовки Экономического форума Россия – Африка) уже есть в БД
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:28:32,802]  Цикл 1 Закончен
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:28:35,562]  Старт цикла 2
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:28:35,562]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:28:37,491]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:37,555]  Новость c заголовском(Юрий Трутнев провел ряд встреч с официальными лицами иностранных государств) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:37,622]  Новость c заголовском(Итоговая пресс-конференция заместителя Председателя Правительства РФ – полномочного представителя Президента РФ в ДФО Юрия Трутнева) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:37,691]  Новость c заголовском(Дальневосточные стартапы провели презентации на питч-сессии Business Priority в рамках работы «Территории инноваций» на ВЭФ) уже есть в БД
